Reference,Value,Manufacturer,MPN,LCSC,Footprint,X_mm,Y_mm,Rotation_deg,Side
CF2,22p C0G,FH,0402CG220J500NT,C1555,0402,72.888,62.875,90.0,front
PD3,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,1206,65.5918,106.4508,-7.387,front
D3,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,1206,60.7691,105.5578,-11.779,front
RF3,100k,UNI-ROYAL,0402WGF1003TCE,C25741,0402,82.112,62.125,90.0,front
CF3,22p C0G,FH,0402CG220J500NT,C1555,0402,82.112,60.125,90.0,front
PD4,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,1206,49.8952,98.5678,-64.946,front
D4,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,1206,48.4901,93.9754,-74.093,front
RF4,100k,UNI-ROYAL,0402WGF1003TCE,C25741,0402,82.612,58.375,0.0,front
CF4,22p C0G,FH,0402CG220J500NT,C1555,0402,83.362,60.125,90.0,front
PD5,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,1206,45.894,78.5794,-88.524,front
D5,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,1206,46.5765,73.926999,-102.15,front
RF5,100k,UNI-ROYAL,0402WGF1003TCE,C25741,0402,62.388,59.775,90.0,front
CF5,22p C0G,FH,0402CG220J500NT,C1555,0402,64.138,58.025,0.0,front
PD6,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,1206,58.0382,66.8263,-168.75,front
D6,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,1206,62.9055,66.2981,-174.743,front
RF6,100k,UNI-ROYAL,0402WGF1003TCE,C25741,0402,62.388,63.025,90.0,front
CF6,22p C0G,FH,0402CG220J500NT,C1555,0402,65.888,64.775,0.0,front
PD7,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,1206,80.031,66.001599,176.212,front
D7,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,1206,84.912,66.631599,172.509,front
RF7,100k,UNI-ROYAL,0402WGF1003TCE,C25741,0402,69.862,64.775,0.0,front
CF7,22p C0G,FH,0402CG220J500NT,C1555,0402,71.612,63.025,90.0,front
PD8,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,1206,101.8327,74.0665,106.613,front
D8,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,1206,102.0915,78.7534,87.41,front
RF8,100k,UNI-ROYAL,0402WGF1003TCE,C25741,0402,69.862,58.025,0.0,front
CF8,22p C0G,FH,0402CG220J500NT,C1555,0402,71.612,59.775,90.0,front
U7,TMUX1308PWR,Texas Instruments,TMUX1308PWR,C970231,TSSOP-16,95.0,62.0,0.0,front
U4,TLV9064IPWR,Texas Instruments,TLV9064IPWR,C779410,TSSOP-14,142.5,60.5,0.0,front
U5,TLV9064IPWR,Texas Instruments,TLV9064IPWR,C779410,TSSOP-14,153.0,61.4,0.0,front
PD9,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,1206,121.206099,94.7917,-70.355,front
D9,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,1206,123.253199,99.2161,-63.186,front
RF9,100k,UNI-ROYAL,0402WGF1003TCE,C25741,0402,137.888,58.875,90.0,front
CF9,22p C0G,FH,0402CG220J500NT,C1555,0402,137.888,60.875,90.0,front
PD10,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,1206,133.767499,106.021,-8.481,front
D10,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,1206,138.6922,106.6029,-6.53,front
RF10,100k,UNI-ROYAL,0402WGF1003TCE,C25741,0402,137.888,62.875,90.0,front
CF10,22p C0G,FH,0402CG220J500NT,C1555,0402,136.638,62.125,90.0,front
PD11,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,1206,154.4082,106.4508,7.387,front
D11,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,1206,159.2309,105.5578,11.779,front
RF11,100k,UNI-ROYAL,0402WGF1003TCE,C25741,0402,145.362,63.875,0.0,front
CF11,22p C0G,FH,0402CG220J500NT,C1555,0402,147.112,62.125,90.0,front
PD12,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,1206,170.1048,98.5678,64.946,front
D12,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,1206,171.5099,93.9754,74.093,front
RF12,100k,UNI-ROYAL,0402WGF1003TCE,C25741,0402,147.112,58.875,90.0,front
CF12,22p C0G,FH,0402CG220J500NT,C1555,0402,148.362,58.875,90.0,front
PD13,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,1206,174.106,78.5794,88.524,front
D13,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,1206,173.4235,73.926999,102.15,front
RF13,100k,UNI-ROYAL,0402WGF1003TCE,C25741,0402,150.138,58.025,0.0,front
CF13,22p C0G,FH,0402CG220J500NT,C1555,0402,148.388,61.025,90.0,front
PD14,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,1206,161.961799,66.8263,168.75,front
D14,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,1206,157.094499,66.2981,174.743,front
RF14,100k,UNI-ROYAL,0402WGF1003TCE,C25741,0402,148.388,63.025,90.0,front
CF14,22p C0G,FH,0402CG220J500NT,C1555,0402,150.138,64.775,0.0,front
PD15,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,1206,139.9941,65.9781,-174.859,front
D15,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,1206,135.0707,66.5788,-173.002,front
RF15,100k,UNI-ROYAL,0402WGF1003TCE,C25741,0402,158.112,64.025,0.0,front
CF15,22p C0G,FH,0402CG220J500NT,C1555,0402,154.112,64.775,0.0,front
PD16,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,1206,118.1743,73.9765,-104.792,front
D16,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,1206,117.9303,78.6886,-87.24,front
RF16,100k,UNI-ROYAL,0402WGF1003TCE,C25741,0402,155.862,58.025,0.0,front
CF16,22p C0G,FH,0402CG220J500NT,C1555,0402,153.862,58.025,0.0,front
U8,TMUX1308PWR,Texas Instruments,TMUX1308PWR,C970231,TSSOP-16,131.0,61.5,0.0,front
C1,1u,CCTC,TCC0402X7R105K160AT,C49210445,0402,85.0,58.25,0.0,front
C2,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,0402,121.25,58.562,0.0,front
C3,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,0402,76.0375,64.18,-90.0,front
C4,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,0402,62.0575,61.4,180.0,front
C5,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,0402,136.8375,60.02,90.0,front
C6,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,0402,148.7375,64.879999,-90.0,front
C7,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,0402,88.138,59.55,0.0,front
C8,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,0402,97.862,58.475,0.0,front
C9,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,0402,133.862,57.975,0.0,front
C10,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,0402,112.75,68.913,0.0,front
C11,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,0402,104.088,64.25,90.0,front
C12,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,0402,112.412,72.05,90.0,front
C13,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,0402,107.5,72.212,90.0,front
C14,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,0402,170.5,68.05,0.0,front
C15,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,0402,87.75,65.0,90.0,front
C16,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,0402,119.25,58.562,0.0,front
C17,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,0402,103.7575,62.75,180.0,front
C18,1u,CCTC,TCC0402X7R105K160AT,C49210445,0402,116.0,58.25,90.0,front
C19,1u,CCTC,TCC0402X7R105K160AT,C49210445,0402,102.75,58.25,90.0,front
C20,1u,CCTC,TCC0402X7R105K160AT,C49210445,0402,114.75,72.0,90.0,front
C21,1u,CCTC,TCC0402X7R105K160AT,C49210445,0402,89.0,65.0,90.0,front
C22,1u,CCTC,TCC0402X7R105K160AT,C49210445,0402,68.0,65.25,90.0,front
C23,1u,CCTC,TCC0402X7R105K160AT,C49210445,0402,152.0,65.25,90.0,front
C24,1u,CCTC,TCC0402X7R105K160AT,C49210445,0402,110.8,68.8,0.0,front
C25,10u,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702,0603,158.5,57.95,0.0,front
C26,10u,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702,0603,125.25,66.0,90.0,front
C27,10u,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702,0603,84.0,63.25,90.0,front
C28,47u 16V X5R,YAGEO,CC1210KKX5R7BB476,C596320,1210,122.0,67.3,0.0,front
C29,1n,FH,0402CG102J500NT,C53547,0402,105.2375,67.93,-90.0,front
C30,1n,FH,0402CG102J500NT,C53547,0402,104.3,69.25,-90.0,front
C31,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,0402,90.25,65.0,90.0,front
U12,SN74LVC1G123DCTR,Texas Instruments,SN74LVC1G123DCTR,C123302,SSOP-8,52.4,66.2,90.0,front
U13,SN74LVC1G04DBVR,Texas Instruments,SN74LVC1G04DBVR,C7827,SOT-23-5,128.199999,66.8,0.0,front
U14,TPS259470LRPWR,Texas Instruments,TPS259470LRPWR,C3662793,VQFN-10-HR(2x2),158.5,62.1,0.0,front
D18,"PESD3V3U1UB,115",Nexperia,"PESD3V3U1UB,115",C2443469,SOD-523,163.3,64.65,180.0,front
D19,"PESD3V3U1UB,115",Nexperia,"PESD3V3U1UB,115",C2443469,SOD-523,53.66,57.965,0.0,front
D20,GREEN / STATUS,Lite-On,LTST-C190KGKT,C125094,0603,59.0,57.9,0.0,front
R14,100,UNI-ROYAL,0402WGF1000TCE,C25076,0402,102.8,68.0,180.0,front
R15,100k,UNI-ROYAL,0402WGF1003TCE,C25741,0402,50.2,68.0,90.0,front
R16,10k,UNI-ROYAL,0402WGF1002TCE,C25744,0402,49.2,68.4,90.0,front
R17,4.7k,UNI-ROYAL,0402WGF4701TCE,C25900,0402,61.0,58.1,90.0,front
R18,19.1k 0.1%,Yageo,RT0402BRD0719K1L,C852587,0402,154.1,65.7,0.0,front
R19,10k 0.1%,Yageo,RT0402BRD0710KL,C190095,0402,161.1,64.5,0.0,front
R20,6.2k,UNI-ROYAL,0402WGF6201TCE,C25915,0402,165.5,64.5,0.0,front
C32,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,0402,104.2375,66.23,-90.0,front
C33,1n,FH,0402CG102J500NT,C53547,0402,54.6,67.8,90.0,front
C34,1n,FH,0402CG102J500NT,C53547,0402,56.3,65.099999,0.0,front
C35,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,0402,55.0,63.8,0.0,front
C36,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,0402,130.8,65.8,90.0,front
C37,1u,CCTC,TCC0402X7R105K160AT,C49210445,0402,159.6,64.5,90.0,front
C38,1n,FH,0402CG102J500NT,C53547,0402,164.6,67.3,90.0,front
