Reference,Value,Footprint,Quantity,Populate,X_mm,Y_mm,Rotation_deg,Side,Manufacturer,MPN,LCSC
U4,TLV9064IPWR,IR_Glasses:TSSOP-14_4.4x5mm_P0.65mm,1,Yes,142.5,60.5,0,front,Texas Instruments,TLV9064IPWR,C779410
U5,TLV9064IPWR,IR_Glasses:TSSOP-14_4.4x5mm_P0.65mm,1,Yes,153,61.4,0,front,Texas Instruments,TLV9064IPWR,C779410
PD9,PD15-22B/TR8,IR_Glasses:Everlight_PD15_22B,1,Yes,120.8321,94.9333,-70.297,front,Everlight,PD15-22B/TR8,C161211
D9,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,122.806,99.4398,-61.268,front,Everlight,IR11-21C/TR8,C16745
RF9,100k,IR_Glasses:R_0402_1005Metric,1,Yes,137.888,58.875,90,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF9,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,137.888,60.875,90,front,FH,0402CG220J500NT,C1555
PD10,PD15-22B/TR8,IR_Glasses:Everlight_PD15_22B,1,Yes,133.70850000000002,106.4166,-9.481,front,Everlight,PD15-22B/TR8,C161211
D10,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,138.6353,107.0997,-6.53,front,Everlight,IR11-21C/TR8,C16745
RF10,100k,IR_Glasses:R_0402_1005Metric,1,Yes,137.888,62.875,90,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF10,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,136.638,62.125,90,front,FH,0402CG220J500NT,C1555
PD11,PD15-22B/TR8,IR_Glasses:Everlight_PD15_22B,1,Yes,154.4596,106.8475,7.387,front,Everlight,PD15-22B/TR8,C161211
D11,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,159.333,106.0473,11.779,front,Everlight,IR11-21C/TR8,C16745
RF11,100k,IR_Glasses:R_0402_1005Metric,1,Yes,145.362,63.875,0,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF11,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,147.112,62.125,90,front,FH,0402CG220J500NT,C1555
PD12,PD15-22B/TR8,IR_Glasses:Everlight_PD15_22B,1,Yes,170.4672,98.7372,65.946,front,Everlight,PD15-22B/TR8,C161211
D12,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,171.9907,94.1124,74.093,front,Everlight,IR11-21C/TR8,C16745
RF12,100k,IR_Glasses:R_0402_1005Metric,1,Yes,147.112,58.875,90,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF12,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,148.362,58.875,90,front,FH,0402CG220J500NT,C1555
PD13,PD15-22B/TR8,IR_Glasses:Everlight_PD15_22B,1,Yes,174.5058,78.5897,89.524,front,Everlight,PD15-22B/TR8,C161211
D13,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,173.91219999999998,73.8218,105.15,front,Everlight,IR11-21C/TR8,C16745
RF13,100k,IR_Glasses:R_0402_1005Metric,1,Yes,150.138,58.025,0,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF13,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,148.388,61.025,90,front,FH,0402CG220J500NT,C1555
PD14,PD15-22B/TR8,IR_Glasses:Everlight_PD15_22B,1,Yes,162.0318,66.4324,167.812,front,Everlight,PD15-22B/TR8,C161211
D14,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,157.1403,65.8002,174.743,front,Everlight,IR11-21C/TR8,C16745
RF14,100k,IR_Glasses:R_0402_1005Metric,1,Yes,148.388,63.025,90,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF14,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,150.138,64.775,0,front,FH,0402CG220J500NT,C1555
PD15,PD15-22B/TR8,IR_Glasses:Everlight_PD15_22B,1,Yes,139.9583,65.5798,-174.859,front,Everlight,PD15-22B/TR8,C161211
D15,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,135.00979999999998,66.0825,-173.002,front,Everlight,IR11-21C/TR8,C16745
RF15,100k,IR_Glasses:R_0402_1005Metric,1,Yes,158.112,64.025,0,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF15,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,154.112,64.775,0,front,FH,0402CG220J500NT,C1555
PD16,PD15-22B/TR8,IR_Glasses:Everlight_PD15_22B,1,Yes,117.7834,73.8917,-106.197,front,Everlight,PD15-22B/TR8,C161211
D16,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,117.4309,78.7127,-87.24,front,Everlight,IR11-21C/TR8,C16745
RF16,100k,IR_Glasses:R_0402_1005Metric,1,Yes,155.862,58.025,0,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF16,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,153.862,58.025,0,front,FH,0402CG220J500NT,C1555
U8,TMUX1308PWR,IR_Glasses:TSSOP-16_4.4x5mm_P0.65mm,1,Yes,131,61.5,0,front,Texas Instruments,TMUX1308PWR,C970231
C1,1u,IR_Glasses:C_0402_1005Metric,1,Yes,85.0,58.25,0,front,CCTC,TCC0402X7R105K160AT,C49210445
C2,100n,IR_Glasses:C_0402_1005Metric,1,Yes,121.25,58.562,0,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C3,100n,IR_Glasses:C_0402_1005Metric,1,Yes,76.388,64.5,90,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C4,100n,IR_Glasses:C_0402_1005Metric,1,Yes,61.888,58.15,0,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C5,100n,IR_Glasses:C_0402_1005Metric,1,Yes,136.638,60.0,90,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C6,100n,IR_Glasses:C_0402_1005Metric,1,Yes,147.888,64.65,0,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C7,100n,IR_Glasses:C_0402_1005Metric,1,Yes,88.138,59.55,0,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C8,100n,IR_Glasses:C_0402_1005Metric,1,Yes,97.862,58.475,0,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C9,100n,IR_Glasses:C_0402_1005Metric,1,Yes,133.862,57.975,0,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C10,100n,IR_Glasses:C_0402_1005Metric,1,Yes,112.75,68.913,0,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C11,100n,IR_Glasses:C_0402_1005Metric,1,Yes,104.088,64.25,90,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C12,100n,IR_Glasses:C_0402_1005Metric,1,Yes,112.412,72.05,90,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C13,100n,IR_Glasses:C_0402_1005Metric,1,Yes,107.5,72.212,90,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C14,100n,IR_Glasses:C_0402_1005Metric,1,Yes,170.5,68.05,0,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C15,100n,IR_Glasses:C_0402_1005Metric,1,Yes,87.75,65.0,90,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C16,100n,IR_Glasses:C_0402_1005Metric,1,Yes,119.25,58.562,0,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C17,100n,IR_Glasses:C_0402_1005Metric,1,Yes,104.0,58.838,90,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C18,1u,IR_Glasses:C_0402_1005Metric,1,Yes,116.0,58.25,90,front,CCTC,TCC0402X7R105K160AT,C49210445
C19,1u,IR_Glasses:C_0402_1005Metric,1,Yes,102.75,58.25,90,front,CCTC,TCC0402X7R105K160AT,C49210445
C20,1u,IR_Glasses:C_0402_1005Metric,1,Yes,114.75,72.0,90,front,CCTC,TCC0402X7R105K160AT,C49210445
C21,1u,IR_Glasses:C_0402_1005Metric,1,Yes,89.0,65.0,90,front,CCTC,TCC0402X7R105K160AT,C49210445
C22,1u,IR_Glasses:C_0402_1005Metric,1,Yes,68.0,65.25,90,front,CCTC,TCC0402X7R105K160AT,C49210445
C23,1u,IR_Glasses:C_0402_1005Metric,1,Yes,152.0,65.25,90,front,CCTC,TCC0402X7R105K160AT,C49210445
C24,1u,IR_Glasses:C_0402_1005Metric,1,Yes,159.25,57.75,0,front,CCTC,TCC0402X7R105K160AT,C49210445
C25,10u,IR_Glasses:C_0603_1608Metric,1,Yes,158.75,62.5,0,front,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702
C26,10u,IR_Glasses:C_0603_1608Metric,1,Yes,125.25,66.0,90,front,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702
C27,10u,IR_Glasses:C_0603_1608Metric,1,Yes,84.0,63.25,90,front,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702
C28,47u 16V X5R,IR_Glasses:C_1210_3225Metric,1,Yes,122,67.3,0,front,YAGEO,CC1210KKX5R7BB476,C596320
C29,1n,IR_Glasses:C_0402_1005Metric,1,Yes,103.5,69.0,0,front,FH,0402CG102J500NT,C53547
C30,1n,IR_Glasses:C_0402_1005Metric,1,Yes,116.0,69.0,0,front,FH,0402CG102J500NT,C53547
C31,100n,IR_Glasses:C_0402_1005Metric,1,Yes,90.25,65.0,90,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
TP1,3V3,IR_Glasses:TestPoint_Pad_D1.0mm,1,PCB pads only,94.0,66.05,0,front,,,
TP2,GND,IR_Glasses:TestPoint_Pad_D1.0mm,1,PCB pads only,100.25,58.3,0,front,,,
TP3,UART_TX,IR_Glasses:TestPoint_Pad_D1.0mm,1,PCB pads only,100.25,60.55,0,front,,,
TP4,UART_RX,IR_Glasses:TestPoint_Pad_D1.0mm,1,PCB pads only,101.0,62.8,0,front,,,
TP5,BOOT_TX_PA9,IR_Glasses:TestPoint_Pad_D1.0mm,1,PCB pads only,102.25,65.05,0,front,,,
TP6,BOOT_RX_PA10,IR_Glasses:TestPoint_Pad_D1.0mm,1,PCB pads only,116.5,63.3,0,front,,,
TP7,SWCLK_BOOT0,IR_Glasses:TestPoint_Pad_D1.0mm,1,PCB pads only,117.75,65.8,0,front,,,
TP8,NRST,IR_Glasses:TestPoint_Pad_D1.0mm,1,PCB pads only,118.25,68.05,0,front,,,
TP9,VREF_1V65,IR_Glasses:TestPoint_Pad_D1.0mm,1,PCB pads only,127.25,65.55,0,front,,,
TP10,3V3,IR_Glasses:TestPoint_Pad_D1.0mm,1,PCB pads only,129.5,65.55,0,front,,,
TP11,IMU_INT,IR_Glasses:TestPoint_Pad_D1.0mm,1,PCB pads only,131.75,65.55,0,front,,,
TP12,3V3_A,IR_Glasses:TestPoint_Pad_D1.0mm,1,PCB pads only,143.75,65.55,0,front,,,
