Ref,Val,Package,PosX,PosY,Rot,Side
"D4","IR11-21C/TR8","Everlight_IR11_21C",48.490100,-93.975400,-74.093000,top
"D5","IR11-21C/TR8","Everlight_IR11_21C",46.576500,-73.926999,-102.150000,top
"D6","IR11-21C/TR8","Everlight_IR11_21C",62.905500,-66.298100,-174.743000,top
"D7","IR11-21C/TR8","Everlight_IR11_21C",84.912000,-66.631599,172.509000,top
"D8","IR11-21C/TR8","Everlight_IR11_21C",102.091500,-78.753400,87.410000,top
"D9","IR11-21C/TR8","Everlight_IR11_21C",123.253199,-99.216100,-63.186000,top
"D10","IR11-21C/TR8","Everlight_IR11_21C",138.692200,-106.602900,-6.530000,top
"D11","IR11-21C/TR8","Everlight_IR11_21C",159.230900,-105.557800,11.779000,top
"D12","IR11-21C/TR8","Everlight_IR11_21C",171.509900,-93.975400,74.093000,top
"D13","IR11-21C/TR8","Everlight_IR11_21C",173.423500,-73.926999,102.150000,top
"D14","IR11-21C/TR8","Everlight_IR11_21C",157.094499,-66.298100,174.743000,top
"D15","IR11-21C/TR8","Everlight_IR11_21C",135.070700,-66.578800,-173.002000,top
"D16","IR11-21C/TR8","Everlight_IR11_21C",117.930300,-78.688600,-87.240000,top
"D17","PESD5V0S1BA,115","D_SOD-323",159.000000,-60.000000,90.000000,top
"FB1","600R@100MHz 500mA","L_0603_1608Metric",89.000000,-67.000000,0.000000,top
"J1","2492111-5","TE_2492111-5_1x05_P0.5mm_Horizontal",165.000000,-61.700000,180.000000,top
"PD1","PD15-21B/TR8","Everlight_PD15_21B",98.772200,-94.793700,69.734000,top
"PD2","PD15-21B/TR8","Everlight_PD15_21B",86.232500,-106.021000,8.481000,top
"PD3","PD15-21B/TR8","Everlight_PD15_21B",65.591800,-106.450800,-7.387000,top
"PD4","PD15-21B/TR8","Everlight_PD15_21B",49.895200,-98.567800,-64.946000,top
"PD5","PD15-21B/TR8","Everlight_PD15_21B",45.894000,-78.579400,-88.524000,top
"PD6","PD15-21B/TR8","Everlight_PD15_21B",58.038200,-66.826300,-168.750000,top
"PD7","PD15-21B/TR8","Everlight_PD15_21B",80.031000,-66.001599,176.212000,top
"PD8","PD15-21B/TR8","Everlight_PD15_21B",101.832700,-74.066500,106.613000,top
"PD9","PD15-21B/TR8","Everlight_PD15_21B",121.206099,-94.791700,-70.355000,top
"PD10","PD15-21B/TR8","Everlight_PD15_21B",133.767499,-106.021000,-8.481000,top
"PD11","PD15-21B/TR8","Everlight_PD15_21B",154.408200,-106.450800,7.387000,top
"PD12","PD15-21B/TR8","Everlight_PD15_21B",170.104800,-98.567800,64.946000,top
"PD13","PD15-21B/TR8","Everlight_PD15_21B",174.106000,-78.579400,88.524000,top
"PD14","PD15-21B/TR8","Everlight_PD15_21B",161.961799,-66.826300,168.750000,top
"PD15","PD15-21B/TR8","Everlight_PD15_21B",139.994100,-65.978100,-174.859000,top
"PD16","PD15-21B/TR8","Everlight_PD15_21B",118.174300,-73.976500,-104.792000,top
"R1","2.67k","R_0402_1005Metric",125.750000,-63.250000,90.000000,top
"R2","10k","R_0402_1005Metric",85.000000,-59.500000,0.000000,top
"R3","10k","R_0402_1005Metric",86.000000,-64.500000,0.000000,top
"R4","10k","R_0402_1005Metric",103.500000,-61.000000,0.000000,top
"R5","100k","R_0402_1005Metric",115.800000,-61.000000,90.000000,top
"R6","4.7k","R_0402_1005Metric",113.000000,-70.000000,0.000000,top
"R7","4.7k","R_0402_1005Metric",113.500000,-72.000000,90.000000,top
"R8","22","R_0402_1005Metric",154.000000,-66.000000,0.000000,top
"R9","22","R_0402_1005Metric",170.000000,-69.500000,0.000000,top
"R10","10k","R_0402_1005Metric",125.750000,-60.000000,90.000000,top
"R11","100","R_0402_1005Metric",102.000000,-67.000000,0.000000,top
"R12","100","R_0402_1005Metric",116.000000,-67.000000,90.000000,top
"R13","47","R_0402_1005Metric",89.750000,-60.000000,90.000000,top
"RF1","100k","R_0402_1005Metric",72.888000,-58.875000,90.000000,top
"RF2","100k","R_0402_1005Metric",74.638000,-63.875000,0.000000,top
"RF3","100k","R_0402_1005Metric",82.112000,-62.125000,90.000000,top
"RF4","100k","R_0402_1005Metric",82.612000,-58.375000,0.000000,top
"RF5","100k","R_0402_1005Metric",62.388000,-59.775000,90.000000,top
"RF6","100k","R_0402_1005Metric",62.388000,-63.025000,90.000000,top
"RF7","100k","R_0402_1005Metric",69.862000,-64.775000,0.000000,top
"RF8","100k","R_0402_1005Metric",69.862000,-58.025000,0.000000,top
"RF9","100k","R_0402_1005Metric",137.888000,-58.875000,90.000000,top
"RF10","100k","R_0402_1005Metric",137.888000,-62.875000,90.000000,top
"RF11","100k","R_0402_1005Metric",145.362000,-63.875000,0.000000,top
"RF12","100k","R_0402_1005Metric",147.112000,-58.875000,90.000000,top
"RF13","100k","R_0402_1005Metric",150.138000,-58.025000,0.000000,top
"RF14","100k","R_0402_1005Metric",148.388000,-63.025000,90.000000,top
"RF15","100k","R_0402_1005Metric",158.112000,-64.025000,0.000000,top
"RF16","100k","R_0402_1005Metric",155.862000,-58.025000,0.000000,top
"U1","TLC59283RGER","Texas_RGE0024C_VQFN-24-1EP_4x4mm_P0.5mm_EP2.1x2.1mm",121.000000,-62.000000,0.000000,top
"U2","TLV9064IPWR","TSSOP-14_4.4x5mm_P0.65mm",77.500000,-60.500000,0.000000,top
"U3","TLV9064IPWR","TSSOP-14_4.4x5mm_P0.65mm",67.000000,-61.400000,0.000000,top
"U4","TLV9064IPWR","TSSOP-14_4.4x5mm_P0.65mm",142.500000,-60.500000,0.000000,top
"U5","TLV9064IPWR","TSSOP-14_4.4x5mm_P0.65mm",153.000000,-61.400000,0.000000,top
"U6","TLV9061IDBVR","SOT-23-5",87.000000,-62.000000,0.000000,top
"U7","TMUX1308PWR","TSSOP-16_4.4x5mm_P0.65mm",95.000000,-62.000000,0.000000,top
"U8","TMUX1308PWR","TSSOP-16_4.4x5mm_P0.65mm",131.000000,-61.500000,0.000000,top
"U9","STM32C031C6T6","LQFP-48_7x7mm_P0.5mm",110.000000,-63.000000,0.000000,top
"U10","LSM6DS3TR-C","LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y",110.000000,-71.300000,0.000000,top
"U11","PESD3V3L2BT,215","SOT-23",167.500000,-67.000000,0.000000,top
